word,pron
alias,ejliYs
alibi,ælYbaj
alice,æljs
alien,ejliYn
aliens,ejliYnz
alike,Ylajk
alison,æljsYn
alive,Ylajv
all,Tl
alleged,Yl[d’d
allen,ælYn
allergic,YlZrd’jk
allergy,ælZrd’i
alley,æli
allies,ælajz
allies,Ylajz
alligator,ælYgejtZr
allow,YlaŠ
allowance,YlaŠYns
allowed,YlaŠd
allowing,YlaŠjK
allows,YlaŠz
ally,ælaj
ally,Ylaj
ally,æli
alma,QlmY
almond,QlmYnd
almost,TlmoŠst
aloft,YlQft
alone,YloŠn
along,YlTK
aloud,YlaŠd
alphabet,ælfYb[t
alphabetical,ælfYb[tjkYl
alphabetize,ælfYbYtajz
alps,ælpss+s
already,Tlr[di
alright,Tlrajt
also,TlsoŠ
altar,TltZr
alter,QltZr
although,TlğoŠ
altitude,æltjtud
alto,æltoŠ
altogether,TltYg[ğZr
alum,ælYm
aluminum,YlumYnYm
always,Tlwejz
am,æm
amalgamation,YmælgYmejƒYn
amateur,æmYtƒZr
amateur,æmYtZr
amaze,Ymejz
amazed,Ymejzd
amazing,YmejzjK
ambassador,æmbæsYdZr
ambidextrous,æmbjd[kstrYs
ambition,æmbjƒYn
ambitious,æmbjƒYs
ambivalent,æmbjvYlYnt
ambulance,æmbjulYns
ambush,æmbŠƒ
amelia,YmiljY
amen,ejm[n
amen,Qm[n
america,Ym[rjkY
american,Ym[rjkYn
americans,Ym[rjkYnz
amethyst,æmj¸jst
amigo,YmigoŠ
ammo,æmoŠ
ammonia,YmoŠnjY
ammunition,æmjYnjƒYn
amnesia,æmni’Y
among,YmŒK
amongst,YmŒKst
amount,YmaŠnt
ampersand,æmpZrsænd
amphibian,æmfjbiYn
amuse,Ymjuz
amused,Ymjuzd
amy,ejmi
an,æn
ana,ænY
ana,QnY
anachronism,YnækrYnjzm
ancestors,æns[stZrz
anchor,æKkZr
anchovy,æntƒoŠvi
ancient,ejntƒYnt
and,ænd
anderson,ændZrsYn
andre,Qndrej
andrew,ændru
anemone,Yn[mYni
anesthesia,ænjs¸i’iY
angel,ejnd’Yl
angeles,ænd’Yljs
angeles,ænd’YlYs
angels,ejnd’Ylz
anger,æKgZr
angle,æKgYl
angry,æKgri
angst,æKstt+t
animal,ænYmYl
animals,ænYmYlz
animated,ænYmejtjd
ankle,æKkYl
ann,æn
anna,ænY
anne,æn
annex,æn[ks
annie,æni
anniversary,ænYvZrsYri
announced,YnoŠnst
announcer,YnaŠnsZr
annoy,YnTj
annoyed,YnTjd
annoying,YnTjjK
anonymous,YnQnYmYs
another,YnŒğZr
answer,ænsZr
answered,ænsZrd
answers,ænsZrz
ant,ænt
antelope,æntYloŠp
antenna,ænt[nY
anthill,ænthjl
anthony,æn¸Yni
antique,æntik
antler,æntlZr
antonio,æntoŠnioŠ
anxiety,æKzajYti
any,[ni
anybody,[nibYdi
anyhow,[nihaŠ
anymore,[nimTr
anyone,[niwŒn
anyplace,[niplejs
anything,[ni¸jK
anytime,[nitajm
anyway,[niwej
anywhere,[niw[r
apache,Ypætƒi
apart,YpQrt
apartheid,YpQrtajt
apartment,YpQrtmYnt
apartments,YpQrtmYnts
ape,ejp
aperture,æpZrtƒYr
apes,ejps
apex,ejp[ks
aphrodisiac,æfroŠdiziæk
apologize,YpQlYd’ajz
apology,YpQlYd’i
apostrophe,YpQstrYfi
apothecary,YpQ¸Yk[ri
apparently,Yp[rYntli
appeal,Ypil
appear,Ypjr
appears,Ypjrz
appease,Ypiz
appendix,Yp[ndjks
applaud,YplTd
applause,YplTz
apple,æpYl
applejack,æpYld’æk
applesauce,æpYlsTs
appliance,YplajYns
applied,Yplajd
apply,Yplaj
appointed,YpTjntYd
appointed,YpTjntjd
appointment,YpTjntmYnt
appreciate,Ypriƒiejt
appreciated,Ypriƒiejtjd
appreciation,YpriƒiejƒYn
apprehension,æprjh[nƒYn
approach,YproŠtƒ
appropriate,YproŠpriYt
appropriate,YproŠpriejt
approved,Ypruvd
apricot,ejprYkQt
april,ejprYl
apron,ejprYn
apropos,æprYpoŠ
apt,æpt
aquarium,Ykw[riYm
arab,ærYb
arab,[rYb
arc,Qrk
arcade,Qrkejd
arch,Qrtƒ
archaic,Qrkejjk
archer,QrtƒZr
archie,Qrtƒi
archipelago,QrkYp[lYgoŠ
architect,QrkYt[kt
arctic,Qrktjk
arduous,Qrd’uYs
are,Qr
area,[riY
arena,YrinY
argh,Qrg
argue,Qrgju
argument,QrgjumYnt
arid,ærYd
arid,[rYd
arise,Zrajz
aristocracy,[rYstQkrYsi
arithmetic,[rj¸mYtjk
arithmetic,Zrj¸mYtjk
ark,Qrk
arm,Qrm
armchair,Qrmtƒ[r
armed,Qrmdd+ed
armoire,QrmwQr
armor,QrmZr
armpit,Qrmpjt
armrest,Qrmr[st
arms,Qrmzz+s
armstrong,QrmstrQK
armstrong,QrmstrTK
army,Qrmi
around,YraŠnd
arraigned,Yrejnd
arrange,Yrejnd’
arranged,Yrejnd’d
array,Yrej
arrest,Yr[st
arrested,Yr[stYd
arrested,Yr[stjd
arrhythmia,YrjğmiY
arrival,YrajvYl
arrive,Yrajv
arrived,Yrajvd
arrogant,[rYgYnt
arrow,æroŠ
arrow,[roŠ
arsenal,QrsYnYl
art,Qrt
artery,QrtZri
arthur,Qr¸Zr
artichoke,QrtjtƒoŠk
article,QrtYkYl
articles,QrtYkYlz
articles,QrtjkYlz
articulate,Qrtjkjulejt
artifice,QrtYfjs
artificial,QrtYfjƒYl
artillery,QrtjlZri
artist,Qrtjst
artistic,Qrtjstjk
arts,Qrtss+s
as,æz
asbestos,æsb[stYs
ash,æƒ
ashamed,Yƒejmd
ashes,æƒjz
ashore,YƒTr
ashtray,æƒtrej
asia,ej’Y
asian,ej’Yn
aside,Ysajd
ask,æsk
askance,Yskæns
asked,æsktt+ed
asking,æskjK
asks,æskss+s
asleep,Yslip
asparagus,Ysp[rYgYs
aspect,æsp[kt
asphalt,æsfQlt
asphyxiate,Ysfjksiejt
aspirin,æspZrjn
ass,æs
assassin,YsæsYn
assassination,YsæsYnejƒYn
assault,YsTlt
assemble,Ys[mbYl
assembly,Ys[mbli
assert,YsZrt
asset,æs[t
assets,æs[ts
asshole,æshoŠl
assignment,YsajnmYnt
assist,Ysjst
assistant,YsjstYnt
associates,YsoŠsiYts
associates,YsoŠsiejts
associates,YsoŠƒiYts
associates,YsoŠƒiejts
assume,Ysum
assumed,Ysumd
assuming,YsumjK
assure,YƒŠr
assured,YƒZrd
asthma,æzmY
astronaut,æstrYnQt
asylum,YsajlYm
at,æt
ate,ejt
athlete,æ¸lit
athletics,æ¸l[tjks
atlanta,ætlæntY
atlantic,ætlæntjk
atlantis,ætlæntjs
atlas,ætlYs
atmosphere,ætmYsfjr
atom,ætYm
atomic,YtQmjk
atrophy,ætrYfi
attach,Ytætƒ
attached,Ytætƒd
attack,Ytæk
attacked,Ytækt
attacker,YtækZr
attacking,YtækjK
attacks,Ytæks
attempt,Yt[mpt
attempted,Yt[mptYd
attend,Yt[nd
attend,Yt[nd
attendance,Yt[ndYns
attending,Yt[ndjK
attention,Yt[nƒYn
attic,ætjk
attitude,ætYtud
attorney,YtZrni
attract,Ytrækt
attracted,YtræktYd
attraction,YtrækƒYn
attractive,Ytræktjv
auction,TkƒYn
auction,QkƒYn
audience,QdiYns
audio,QdioŠ
audit,Tdjt
audition,QdjƒYn
auditorium,TdYtTriYm
august,QgYst
august,TgYst
aunt,ænt
aunt,Tnt
auntie,Tnti
auntie,ænti
aura,TrY
auspice,Tspjs
austere,Tstjr
austin,Tstjn
australia,TstrejljY
authentic,T¸[ntjk
author,T¸Zr
authorities,Y¸TrYtiz
authority,Y¸TrYti
authorized,T¸Zrajzd
auto,TtoŠ
auto,TtoŠ
autograph,TtYgræf
autographed,TtYgræft
automatic,TtYmætjk
automobile,TtYmoŠbil
autopsy,TtQpsi
autumn,TtYm
available,YvejlYbYl
avalanche,ævYlæntƒ
avenue,ævYnu
average,ævZrjd’
average,ævrjd’
avert,YvZrt
aviator,ejviejtZr
avid,ævjd
avoid,YvTjd
avoiding,YvTjdjK
aw,T
await,Ywejt
awake,Ywejk
awaken,YwejkYn
award,YwTrd
award,YwTrd
awards,YwTrdz
aware,Yw[r
away,Ywej
awesome,TsYm
awful,TfYl
awfully,TfYlli
awhile,Ywajl
awhile,Ywajl
awkward,TkwYrd
awning,QnjK
ax,æks
axe,æks
axle,æksYl
ayatollah,ajYtoŠlY
aycock,ejkQk
aye,aj
babble,bæbYl
babe,bejb
babies,bejbiz
baboon,bYbun
baby,bejbi
babycarriage,bejbikærjd’
babyish,bejbijƒ
babysit,bejbisjt
babysitter,bejbisjtZr
bachelor,bætƒYlZr
bachelor,bætƒlZr
back,bæk
backbone,bækboŠn
backdoor,bækdTr
backed,bæktt+ed
background,bækgraŠnd
backing,bækjK
backpack,bækpæk
backs,bækss+s
backseat,bæksit
backside,bæksajd
backstage,bækstejd’
backup,bækYp
backward,bækwZrd
backwards,bækwZrdz
backyard,bækjQrd
bacon,bejkYn
bad,bæd
bade,bejd
badge,bæd’
badger,bæd’Zr
badly,bædli
badness,bædnYs
bag,bæg
bagful,bægfŠl
baggage,bægjd’
baggie,bægi
baggy,bægi
bags,bægzz+s
bail,bejl
bailey,bejli
bait,bejt
baits,bejtss+s
bake,bejk
baked,bejktt+ed
baker,bejkZr
bakery,bejkZri
bakes,bejkss+es
balance,bælYns
balanced,bælYnst
balcony,bælkYni
bald,bTldd+d
baldness,bTldd+dnYs
baldrick,bQldrYk
bale,bejl
balk,bTk
ball,bQl
ballerina,bælZrinY
ballet,bælej
balloon,bYlun
balloons,bYlunz
ballot,bælYt
ballpark,bTlpQrk
ballroom,bTlrum
balls,bTlzz+s
balm,bQlmm+m
baltimore,bTltYmTr
bam,bæm
bamboo,bæmbu
ban,bæn
banana,bYnænY
bananas,bYnænYz
band,bændd+d
bandage,bændjd’
bandaid,bændejd
bandit,bændjt
bands,bændd+dz
bane,bejn
bang,bæK
banging,bæKjK
bank,bæKkk+k
banker,bæKkZr
banks,bæKkk+ks
banner,bænZr
banquet,bæKkwYt
baptism,bæptjzm
baptize,bæptajz
bar,bQr
barbara,bQrbYrY
barbecue,bQrbjkju
barber,bQrbZr
barbershop,bQrbZrƒQp
barbwire,bQrbwajZr
bard,bQrdd+d
bare,b[r
barefoot,b[rfŠt
barefooted,b[rfŠtYd
barely,b[rli
barf,bQrff+f
bargain,bQrgYn
barge,bQrd’d’+g
bark,bQrkk+k
barking,bQrkjK
barn,bQrnn+n
barney,bQrni
barnyard,bQrnn+njQrd
baron,bærYn
baron,b[rYn
barrack,b[rYk
barrack,bærYk
barracuda,b[rYkudY
barrage,bYrQ’
barre,bQr
barrel,bærYl
barrel,b[rYl
barrette,bYr[t
barrier,bæriZr
barrier,b[riZr
barry,bæri
barry,b[ri
bars,bQrzz+s
bart,bQrtt+t
bartender,bQrt[ndZr
bas,bæs
base,bejs
baseball,bejsbTl
based,bejstt+ed
basement,bejsmYnt
bash,bæƒ
bashful,bæƒfYl
basic,bejsjk
basically,bejsjkYli
basics,bejsjks
basin,bejsYn
basis,bejsjs
bask,bæskk+k
basket,bæskjt
basketball,bæskYtbTl
bass,bæs
bass,bejs
bastard,bæstZrd
bastards,bæstZrdz
baste,bejstt+t
bat,bæt
batch,bætƒ
bate,bejt
bath,bæ¸
bathe,bejğ
bathed,bejğdd+ed
bathes,bejğzz+es
bathing,bejğjK
bathroom,bæ¸rum
bathtub,bæ¸tŒb
batman,bætmæn
baton,bYtQn
bats,bætss+s
battalion,bYtæljYn
batter,bætZr
batteries,bætZriz
battery,bætZri
battle,bætYl
battles,bætYlz
baxter,bækstZr
bay,bej
bayonet,bejYn[t
be,bi
beach,bitƒ
beachball,bitƒbQl
beacon,bikYn
bead,bid
beagle,bigYl
beak,bik
beaker,bikZr
beam,bim
bean,bin
beans,binzz+s
bear,b[r
beard,bjrdd+d
bearded,bjrdYd
beardy,bjrdi
bearing,b[rjK
bearlike,b[rlajk
bears,b[rzz+s
beast,bistt+t
beat,bit
beaten,bitYn
beating,bitjK
beats,bitss+s
beau,boŠ
beautiful,bjutYfYl
beautifully,bjutYfYli
beauty,bjuti
beaver,bivZr
became,bjkejm
became,bikejm
because,bjkŒz
because,bjkTz
because,bjkQz
because,bjkYz
beck,b[k
become,bjkŒm
becomes,bjkŒmz
becoming,bjkŒmjK
bed,b[d
bedbug,b[dbŒg
bedding,b[djK
bedroom,b[drum
beds,b[dzz+s
bedside,b[dsajd
bedtime,b[dtajm
bee,bi
beech,bitƒ
beef,bif
beehive,bihajv
beek,bik
been,bjn
beep,bip
beeping,bipjK
beer,bjr
beers,bjrzz+s
bees,biz
beet,bit
beetle,bitYl
before,bjfTr
beforehand,bjfTrhænd
beg,b[g
began,bjgæn
began,bigæn
beggar,b[gZr
begged,b[gdd+ed
begging,b[gjK
begin,bjgjn
beginner,bjgjnZr
beginning,bjgjnjK
begins,bjgjnz
beguile,bjgajl
begun,bjgŒn
behalf,bjhæf
behave,bjhejv
behavior,bjhejvjZr
behaviour,bjhejvjZr
behind,bjhajnd
behold,bjhoŠld
beige,bej’
being,bijK
beings,bijKz
belch,b[ltƒtƒ+ch
belief,bjlif
believe,bjliv
believed,bjlivd
believer,bjlivZr
believes,bjlivz
believing,bjlivjK
bell,b[l
belle,b[l
bellicosity,b[lYkQsYti
belligerence,bYljd’ZrYns
belligerent,bYljd’ZrYnt
belly,b[li
bellyache,b[liejk
bellyful,b[lifŠl
belong,bjlŒK
belonged,bjlTKd
belongs,bjlTKz
below,biloŠ
below,bjloŠ
belt,b[ltt+t
belts,b[ltt+ts
ben,b[n
bench,b[ntƒtƒ+ch
bend,b[ndd+d
beneath,bjni¸
benign,bYnajn
benny,b[ni
bent,b[ntt+t
beret,b[rej
berry,b[ri
berth,bZr¸¸+th
beside,bjsajd
beside,bisajd
besides,bjsajdz
besides,bisajdz
best,b[stt+t
bet,b[t
beth,b[¸
better,b[tZr
betty,b[ti
between,bjtwin
between,bitwin
beverage,b[vZrjd’
beverage,b[vrjd’
beware,bjw[r
beyond,bjjQnd
beyond,bjjTnd
beyond,bijTnd
bib,bjb
bible,bajbYl
biblical,bjblYkYl
biblical,bjbljkYl
bicycle,bajsjkYl
bid,bjd
bidding,bjdjK
bide,bajd
bidet,bYdej
bidet,bjdej
big,bjg
bigger,bjgZr
biggest,bjgYst
biggie,bjgi
biggish,bjgjƒ
bike,bajk
biker,bajkZr
bikini,bjkini
bile,bajl
bilge,bjld’d’+g
bill,bjl
billboard,bjlbTrd
billiard,bjljZrd
bills,bjlzz+s
billy,bjli
bin,bjn
bind,bajndd+d
bing,bjK
binge,bjnd’d’+g
bingo,bjKgoŠ
binocular,bYnQkjYlZr
binocular,bjnQkjŠlZr
binoculars,bYnQkjulZrz
biological,bajYlQd’jkYl
biology,bajQlYd’i
birch,bZrtƒtƒ+ch
bird,bZrdd+d
birdcage,bZrdd+dkej’
birdhouse,bZrdd+dhaŠs
birdie,bZrdi
birds,bZrdd+dz
birdseed,bZrdd+dsid
birth,bZr¸¸+th
birthday,bZr¸¸+thdej
birthmark,bZr¸¸+thmQrk
birthplace,bZr¸¸+thplejs
biscuit,bjskYt
bishop,bjƒYp
bison,bajsYn
bisque,bjskk+qu
bit,bjt
bitch,bjtƒ
bite,bajt
biter,bajtZr
bites,bajtss+es
biting,bajtjK
bitsy,bjtsi
bitty,bjti
blab,blæbb+b
black,blækk+ck
blackbird,blækk+ckbZrd
blackboard,blækk+ckbTrd
blackness,blækk+cknYs
bladder,blædZr
blade,blejdd+d
blair,bl[rr+r
blame,blejmm+m
blamed,blejmm+md
blanch,blænn+ntƒ
bland,blænn+nd
blank,blæKK+nk
blanket,blæKK+nkjt
blanket,blæKK+nkYt
blankets,blæKK+nkjts
blare,bl[rr+r
blast,blæss+st
blastoff,blæstTf
blatant,blejtYnt
blaze,blejzz+z
bleach,blitƒtƒ+ch
bleak,blikk+k
bleat,blitt+t
bled,bl[dd+d
bleed,blidd+d
bleeding,blidjK
bleep,blipp+p
blend,bl[nn+nd
blender,bl[nn+ndZr
bless,bl[ss+ss
blessed,bl[ss+sst
blessing,bl[sjK
blessings,bl[sjKz
blest,bl[ss+st
blew,blu
blight,blajtt+t
blimp,bljmm+mp
blind,blajnn+nd
blinding,blajnn+ndjK
blindness,blajnn+ndnYs
blink,bljKK+nk
bliss,bljss+ss
blister,bljstZr
blithe,blajğğ+th
blitz,bljtt+ts
blitzed,bljtt+tst
blitzes,bljtt+tsjz
blitzkrieg,bljtt+tskrig
blizzard,bljzZrd
bloat,bloŠtt+t
blob,blQbb+b
bloc,blQkk+c
block,blQkk+ck
blocking,blQkjK
blocks,blQkk+cks
bloke,bloŠkk+k
blond,blQnn+nd
blonde,blQnn+nd
blood,blŒdd+d
bloodstain,blŒdd+dstejn
bloody,blŒdi
bloom,blumm+m
blooming,blumjK
blossom,blQsYm
blot,blQtt+t
blouse,blaŠss+s
blow,bloŠ
blowing,bloŠjK
blown,bloŠnn+n
blows,bloŠzz+s
blowup,bloŠŒp
blubber,blŒbZr
blue,blu
blueberry,blub[ri
bluebird,blubZrd
bluejay,blud’ej
blues,bluzz+s
bluff,blŒff+ff
bluffing,blŒfjK
blunder,blŒnn+ndZr
blunt,blŒnn+nt
blur,blZrr+r
blurry,blZrr+rri
blush,blŒƒƒ+sh
bo,boŠ
boa,boŠY
boar,bTr
board,bTrdd+d
boast,boŠstt+t
boat,boŠt
boater,boŠtZr
bob,bQb
bobby,bQbi
bobcat,bQbkæt
bodies,bQdiz
body,bQdi
bodyguard,bQdigQrd
bog,bTg
bogeyman,bŠgimæn
bogeyman,bugimæn
boil,bTjl
boiled,bTjldd+ed
boisterous,bTjstZrYs
boisterous,bTjstt+trYs
bold,boŠldd+d
bolt,boŠltt+t
bomb,bQm
bombing,bQmjK
bombs,bQmzz+s
bond,bQndd+d
bone,boŠn
bones,boŠnzz+es
bong,bQK
bongo,bQKgoŠ
bonjour,bQn’Šr
bonk,bQKkk+k
bonnet,bQnYt
bonus,boŠnYs
boo,bu
boob,bub
booby,bubi
booger,bŠgZr
boogeyman,bŠgimæn
boogeyman,bugimæn
boogie,bŠgi
boogieman,bŠgimæn
boohoo,buhu
book,bŠk
bookcase,bŠkkejs
booklet,bŠkljt
bookmark,bŠkmQrk
books,bŠkss+s
bookseller,bŠks[lZr
bookshop,bŠkƒQp
bookstore,bŠkstTr
bookworm,bŠkwZrm
boom,bum
boon,bun
boost,bustt+t
boot,but
booth,bu¸
bootie,buti
bootlegs,butl[gz
boots,butss+s
booty,buti
booze,buz
bop,bQp
bordeaux,bTrdoŠ
border,bTrdZr
bore,bTr
bored,bTrdd+ed
boredom,bTrdYm
boring,bTrjK
born,bTrnn+n
borne,bTrnn+n
borough,bZroŠ
borrow,bQroŠ
boss,bTs
bossy,bTsi
boston,bTstYn
boston,bQstYn
both,boŠ¸
bother,bQğZr
bothering,bQğZrjK
bottle,bQtYl
bottom,bQtYm
bough,baŠ
bought,bTt
bouillon,bujYn
boulder,boŠldZr
boulevard,bŠlYvQrd
bounce,baŠnss+c
bounciness,baŠnsinYs
bouncy,baŠnsi
bound,baŠndd+d
boundary,baŠndZri
bouquet,bukej
bourbon,bZrbYn
bout,baŠt
boutique,butik
bow,baŠ
bow,boŠ
bowel,baŠYl
bowl,boŠl
bowlegs,boŠl[gz
bowling,boŠljK
bowwow,baŠwaŠ
box,bQks
boxer,bQksZr
boxes,bQksYz
boxes,bQksjz
boxing,bQksjK
boy,bTj
boyfriend,bTjfr[nd
boyfriends,bTjfr[ndz
boys,bTjz
bozo,boŠzoŠ
brace,brejss+c
bracelet,brejss+clYt
bracket,brækjt
brad,brædd+d
brag,brægg+g
bragger,brægZr
brahms,brQmm+mz
braid,brejdd+d
braille,brejll+ll
brain,brejnn+n
brains,brejnn+nz
brainy,brejni
brake,brejkk+k
bran,brænn+n
branch,brænn+ntƒ
brand,brænn+nd
brandy,brænn+ndi
brash,bræƒƒ+sh
brass,bræss+ss
brat,brætt+t
bratty,bræti
brave,brejvv+v
braver,brejvZr
bravery,brejvZri
bravo,brQvoŠ
brawl,brTll+l
brawn,brTnn+n
brazil,brYzjl
breach,britƒtƒ+ch
bread,br[dd+d
breadbox,br[dd+dbQks
breadth,br[dd+d¸
break,brejkk+k
breakfast,brejkk+kfYst
breaking,brejkjK
breaks,brejkk+ks
breast,br[ss+st
breath,br[¸¸+th
breathe,briğğ+th
breathing,briğjK
bred,br[dd+d
breed,bridd+d
breeze,brizz+z
breezy,brizi
brent,br[nn+nt
brett,br[tt+tt
brew,bru
brewster,brustZr
brian,brajYn
bribe,brajbb+b
brick,brjkk+ck
bride,brajdd+d
bridge,brjd’d’+dg
bridges,brjd’Yz
bridges,brjd’jz
brief,briff+f
briefcase,briff+fkejs
brig,brjgg+g
bright,brajtt+t
brighten,brajtYn
brightness,brajtt+tnYs
brilliant,brjll+lljYnt
brim,brjmm+m
bring,brjKK+ng
bringing,brjKK+ngjK
brings,brjKK+ngz
brink,brjKK+nk
brioche,brioŠƒ
brioche,briQƒ
brisk,brjss+sk
bristle,brjsYl
britain,brjtYn
british,brjtjƒ
bro,broŠ
broach,broŠtƒtƒ+ch
broad,brTdd+d
brocade,broŠkejd
broccoli,brQkYli
brochure,broŠƒŠr
broil,brTjll+l
broke,broŠkk+k
broken,broŠkYn
brontosaurus,brTnn+ntYsTrYs
bronx,brQKK+nks
bronze,brQnn+nz
brooch,broŠtƒtƒ+ch
brood,brudd+d
brook,brŠkk+k
broom,brumm+m
broomstick,brumm+mstjk
broth,brT¸¸+th
brother,brYğZr
brotherly,brŒğZrli
brothers,brŒğZrz
brought,brTtt+t
brow,braŠ
brown,braŠnn+n
brownie,braŠni
brownish,braŠnjƒ
browse,braŠzz+s
browsed,braŠzz+sd
browser,braŠzZr
browses,braŠzjz
browsing,braŠzjK
bruce,bruss+c
bruise,bruzz+s
bruises,bruzjz
bruises,bruzYz
brunch,brŒnn+ntƒ
brunette,brun[t
brunt,brŒnn+nt
brush,brŒƒƒ+sh
brute,brutt+t
bubble,bYbYl
bubbles,bŒbYlz
bubbly,bŒbli
buchanan,bjukænYn
buck,bŒk
bucket,bYkjt
bucketful,bŒkjtfŠl
buckle,bYkYl
bucko,bŒkoŠ
bucks,bŒkss+s
bud,bŒd
buddha,budY
buddy,bŒdi
budge,bŒd’
buff,bŒf
buffalo,bŒfYloŠ
buffer,bŒfZr
buffet,bŠfej
bug,bŒg
bugging,bŒgjK
buggy,bŒgi
bugle,bjugYl
build,bjldd+d
builder,bjldZr
building,bjldjK
built,bjltt+t
bulb,bŒlbb+b
bulge,bŒld’d’+g
bulk,bŒlkk+k
bull,bŠl
bulldog,bŠldTg
bulldoze,bŠldoŠz
bulldozer,bŠldoŠzZr
bullet,bŠlYt
bulletin,bŠljtYn
bullets,bŠlYts
bullfrog,bŠlfrTg
bullock,bŠlYk
bulls,bŠlzz+s
bullshit,bŠlƒjt
bully,bŠli
bum,bŒm
bumble,bŒmbYl
bumblebee,bŒmbYlbi
bummer,bŒmZr
bump,bŒmpp+p
bumped,bŒmpp+pt
bumper,bŒmpZr
bumpy,bŒmpi
bun,bŒn
bunch,bŒntƒtƒ+ch
