ÿWORD,MEANING,AoAtestbased,AoArating,CDI,Morr,Floc,
bite,sink teeth in,7,4.1,1.57078853,#N/A,#N/A,
tv,pictures by radio waves,7,,1.571347032,#N/A,#N/A,
bicycle,a two-wheeler,7,4.3,1.57183908,#N/A,#N/A,
cold,low in temperature,7,3.7,1.573099415,#N/A,#N/A,
cold,not warm,7,3.7,1.573099415,#N/A,#N/A,
tree,the largest plants,7,3.7,1.574146982,1.841666667,#N/A,
door,opening into building,7,3.8,1.575657895,1.841666667,#N/A,
pig,a hog,7,4.1,1.578171091,1.95,#N/A,
sit,take a seat,7,3.4,1.578685259,#N/A,#N/A,
chair,seat for one person,7,3.8,1.583333333,1.841666667,#N/A,
blanket,to cover,7,3.9,1.583333333,#N/A,#N/A,
dirty,not decent,7,5.0,1.583333333,#N/A,#N/A,
dirty,covered with mud,7,5.0,1.583333333,#N/A,#N/A,
puppy,a young dog,7,3.4,1.583333333,#N/A,#N/A,
toy,a plaything,7,3.0,1.583333333,#N/A,#N/A,
light,what you see by,7,4.7,1.594497608,#N/A,#N/A,
bed,sleeping place,7,3.0,1.598290598,1.841666667,#N/A,
bee,honey-making insect,7,4.0,1.600746269,4.708333333,#N/A,
tummy,stomach,7,3.5,1.600746269,#N/A,#N/A,
telephone,sends talk by wire,7,6.2,1.622222222,1.95,#N/A,
doll,girl's plaything,7,3.6,1.622222222,#N/A,#N/A,
rain,falling water,7,4.0,1.634672619,#N/A,#N/A,
block,distance between streets,7,4.9,1.636363636,#N/A,#N/A,
block,child's toy,7,4.9,1.636363636,#N/A,#N/A,
block,stop something,7,4.9,1.636363636,#N/A,#N/A,
block,chunk of wood,7,4.9,1.636363636,#N/A,#N/A,
block,piece of building material,7,4.9,1.636363636,#N/A,#N/A,
button,round clothes fastener,7,4.6,1.643162393,3.208333333,#N/A,
button,a push-type switch,7,4.6,1.643162393,3.208333333,#N/A,
button,to fasten,7,4.6,1.643162393,3.208333333,#N/A,
toothbrush,used for cleaning teeth,7,4.3,1.645994832,#N/A,#N/A,
train,railway cars,7,5.5,1.649681529,2.091666667,#N/A,
out,not burning,7,4.0,1.654680365,#N/A,#N/A,
out,three strikes,7,4.0,1.654680365,#N/A,#N/A,
out,off,7,4.0,1.654680365,#N/A,#N/A,
out,toward the outside,7,4.0,1.654680365,#N/A,#N/A,
out,not in,7,4.0,1.654680365,#N/A,#N/A,
clock,tells time,7,4.5,1.655208333,1.841666667,#N/A,
off,won't be held,7,3.8,1.655208333,#N/A,#N/A,
off,taken away,7,3.8,1.655208333,#N/A,#N/A,
off,away from,7,3.8,1.655208333,#N/A,#N/A,
off,not burning,7,3.8,1.655208333,#N/A,#N/A,
off,not on,7,3.8,1.655208333,#N/A,#N/A,
soap,stuff used for washing,7,3.9,1.655208333,#N/A,#N/A,
pool,a little pond,7,4.8,1.656609195,#N/A,#N/A,
boy,very young man,7,3.0,1.659926471,4.708333333,#N/A,
me,I,7,2.5,1.666666667,#N/A,#N/A,
moon,the earth satellite,7,4.4,1.675925926,2.091666667,#N/A,
fork,an eating tool,7,4.0,1.683333333,1.95,#N/A,
kiss,touch lips,7,3.7,1.688888889,#N/A,#N/A,
cherios,,7,,1.691210046,#N/A,#N/A,
yucky,,7,4.2,1.691823899,#N/A,#N/A,
grapes,,7,4.7,1.693589744,4.708333333,#N/A,
rock,a stone,7,4.0,1.693589744,#N/A,#N/A,
arm,part of body,7,3.5,1.695970696,3.208333333,#N/A,
arm,part of a chair,7,3.5,1.695970696,3.208333333,#N/A,
buttocks,the rump,7,7.7,1.695970696,#N/A,#N/A,
potty,,7,2.7,1.701754386,#N/A,#N/A,
shirt,clothing,7,4.2,1.701797386,4.708333333,#N/A,
egg,laid by hen,7,3.9,1.701923077,#N/A,#N/A,
hello,how are you?,7,2.0,1.701923077,#N/A,#N/A,
hello,a greeting,7,2.0,1.701923077,#N/A,#N/A,
see,to have power of sight,7,3.5,1.70610119,#N/A,#N/A,
see,look at,7,3.5,1.70610119,#N/A,#N/A,
see,go find out,7,3.5,1.70610119,#N/A,#N/A,
coat,an animal's fur,7,4.0,1.707854406,5.708333333,#N/A,
coat,article of clothing,7,4.0,1.707854406,5.708333333,#N/A,
frenchfries,potatoes fried in deep fat,7,,1.708333333,#N/A,#N/A,
hug,squeeze in arms,7,3.5,1.710144928,#N/A,#N/A,
big,large,7,2.8,1.716435185,#N/A,#N/A,
head,from neck up,7,4.7,1.718926554,#N/A,#N/A,
bib,baby's napkin,7,4.5,1.723404255,#N/A,#N/A,
mouse,small animal,7,5.0,1.723707665,1.95,#N/A,
pants,trousers,7,6.0,1.723809524,#N/A,#N/A,
nap,short sleep,7,3.0,1.728682171,#N/A,#N/A,
wet,not dry,7,3.0,1.731617647,#N/A,#N/A,
bowl,deep dish,7,4.7,1.738738739,3.208333333,#N/A,
finger,part of hand,7,3.5,1.739669421,1.95,#N/A,
broom,thing to sweep with,7,5.7,1.741830065,7.208333333,#N/A,
box,wood or paper container,7,4.6,1.75,3.208333333,#N/A,
boots,,7,4.9,1.75,#N/A,#N/A,
knee,part of trousers leg,7,4.3,1.75,#N/A,#N/A,
knee,leg joint,7,4.3,1.75,#N/A,#N/A,
on,upon,7,3.3,1.75,#N/A,#N/A,
on,taking place,7,3.3,1.75,#N/A,#N/A,
on,at,7,3.3,1.75,#N/A,#N/A,
on,ahead,7,3.3,1.75,#N/A,#N/A,
paper,to cover the walls,7,4.1,1.75,#N/A,#N/A,
paper,publishes the news,7,4.1,1.75,#N/A,#N/A,
paper,stuff you write on,7,4.1,1.75,#N/A,#N/A,
pillow,support for the head,7,4.0,1.75,#N/A,#N/A,
walk,go by foot,7,4.0,1.75,#N/A,#N/A,
bus,an automobile,7,4.0,1.755733945,1.95,#N/A,
bus,big car with rows of seats,7,4.0,1.755733945,1.95,#N/A,
open,not shut,7,4.4,1.759124088,#N/A,#N/A,
open,clear,7,4.4,1.759124088,#N/A,#N/A,
bread,food made in loaves,7,3.7,1.761363636,2.375,#N/A,
home,where you live,7,4.0,1.761363636,#N/A,#N/A,
monkey,small ape,7,4.1,1.765060241,2.091666667,#N/A,
pizza,Italian food,7,4.1,1.772088353,#N/A,#N/A,
broken,in pieces,7,5.9,1.772321429,#N/A,#N/A,
brush,used for scrubbing,7,4.1,1.774914089,1.95,#N/A,
pen,fence in,7,4.6,1.774914089,3.708333333,#N/A,
pen,a writing tool,7,4.6,1.774914089,3.708333333,#N/A,
bathtub,where people bathe,7,3.2,1.776378897,#N/A,#N/A,
toast,to brown by heating,7,5.5,1.779761905,4.208333333,#N/A,
toast,browned bread,7,5.5,1.779761905,4.208333333,#N/A,
teddybear,cuddly toy animal,7,,1.779761905,#N/A,#N/A,
ice,frozen dessert,7,4.4,1.78452381,#N/A,#N/A,
ice,frozen water,7,4.4,1.78452381,#N/A,#N/A,
raisin,dried grape,7,5.0,1.78452381,#N/A,#N/A,
cry,to shed tears,7,2.9,1.785119048,#N/A,#N/A,
cry,yell,7,2.9,1.785119048,#N/A,#N/A,
frog,water animal,7,4.3,1.787414966,1.95,#N/A,
icecream,sweet frozen food,7,,1.787414966,#N/A,#N/A,
pretty,good-looking,7,5.0,1.787414966,#N/A,#N/A,
stairs,steps,7,4.2,1.787414966,#N/A,#N/A,
cake,a baked dessert,7,3.9,1.789784946,1.95,#N/A,
fall,autumn,7,4.3,1.793137255,#N/A,#N/A,
fall,to tumble,7,4.3,1.793137255,#N/A,#N/A,
fall,to come down,7,4.3,1.793137255,#N/A,#N/A,
candy,sweets,7,3.9,1.796648551,#N/A,#N/A,
towel,a drying cloth,7,3.8,1.797008547,3.208333333,#N/A,
leg,part of body,7,2.9,1.799166667,3.208333333,#N/A,
butter,dairy product,7,4.7,1.80620155,#N/A,#N/A,
cereal,grain for food,7,4.7,1.80620155,#N/A,#N/A,
in,at home,7,3.4,1.806847545,#N/A,#N/A,
in,during,7,3.4,1.806847545,#N/A,#N/A,
in,into,7,3.4,1.806847545,#N/A,#N/A,
in,not outside,7,3.4,1.806847545,#N/A,#N/A,
in,inside,7,3.4,1.806847545,#N/A,#N/A,
inside,the inner part,7,4.6,1.806847545,#N/A,#N/A,
inside,not outside,7,4.6,1.806847545,#N/A,#N/A,
inside,indoors,7,4.6,1.806847545,#N/A,#N/A,
cheek,part of face,7,5.0,1.807170543,#N/A,#N/A,
store,supplies for the future,7,5.8,1.807170543,#N/A,#N/A,
store,where goods are sold,7,5.8,1.807170543,#N/A,#N/A,
money,dollars and cents,7,4.8,1.809606481,#N/A,#N/A,
good,well-behaved,7,3.3,1.810945274,#N/A,#N/A,
that,"not this, the other",7,3.9,1.810945274,#N/A,#N/A,
house,give shelter to,7,3.2,1.811056106,1.841666667,#N/A,
house,building to live in,7,3.2,1.811056106,1.841666667,#N/A,
chin,part of face,7,4.4,1.811056106,#N/A,#N/A,
read,to learn what printed words mean,7,4.1,1.811056106,#N/A,#N/A,
read,understood the writing,7,4.1,1.811056106,#N/A,#N/A,
ride,"travel in car, train",7,4.6,1.813768116,#N/A,#N/A,
ride,a trip by car or horse,7,4.6,1.813768116,#N/A,#N/A,
wash,clothes for cleaning,7,3.8,1.813768116,#N/A,#N/A,
wash,to flow like water,7,3.8,1.813768116,#N/A,#N/A,
wash,clean with water,7,3.8,1.813768116,#N/A,#N/A,
man,humankind,7,3.2,1.816025641,#N/A,#N/A,
man,a grown male,7,3.2,1.816025641,#N/A,#N/A,
man,a human being,7,3.2,1.816025641,#N/A,#N/A,
sleep,to lie in rest,7,3.1,1.81918239,#N/A,#N/A,
dance,move body in rhythm,7,4.9,1.821428571,#N/A,#N/A,
dance,moving to music,7,4.9,1.821428571,#N/A,#N/A,
dinner,the evening or noon meal,7,3.9,1.821895425,#N/A,#N/A,
highchair,a chair for feeding babies,7,,1.824494949,#N/A,#N/A,
tickle,make laugh,7,4.2,1.824494949,#N/A,#N/A,
elephant,largest land animal,7,4.7,1.833333333,1.95,#N/A,
owl,night bird,7,5.5,1.833333333,3.208333333,#N/A,
bathroom,where bathtub is,7,3.0,1.833333333,#N/A,#N/A,
blue,sky color,7,3.4,1.833333333,#N/A,#N/A,
coffee,hot brown drink,7,5.8,1.833333333,#N/A,#N/A,
crayon,for coloring,7,3.2,1.833333333,#N/A,#N/A,
get,receive,7,3.8,1.833333333,#N/A,#N/A,
get,go and take,7,3.8,1.833333333,#N/A,#N/A,
girl,a sweetheart,7,3.6,1.833333333,#N/A,#N/A,
girl,a young woman,7,3.6,1.833333333,#N/A,#N/A,
grass,green lawn growth,7,4.0,1.833333333,#N/A,#N/A,
i,myself,7,2.9,1.833333333,#N/A,#N/A,
noodles,,7,4.0,1.833333333,#N/A,#N/A,
shower,a short rain,7,6.3,1.833333333,#N/A,#N/A,
shower,a bath,7,6.3,1.833333333,#N/A,#N/A,
sodapop,a fizzy drink,7,,1.833333333,#N/A,#N/A,
tongue,part of mouth,7,4.4,1.833333333,#N/A,#N/A,
what,used to ask question,7,3.9,1.833333333,#N/A,#N/A,
what,which,7,3.9,1.833333333,#N/A,#N/A,
jump,a move in checkers,7,3.9,1.840236686,#N/A,#N/A,
jump,a sudden rise,7,3.9,1.840236686,#N/A,#N/A,
jump,a leap,7,3.9,1.840236686,#N/A,#N/A,
jump,to hop up and down,7,3.9,1.840236686,#N/A,#N/A,
help,aid,7,4.5,1.84137931,#N/A,#N/A,
play,to pretend,7,3.7,1.842669433,#N/A,#N/A,
play,a stage show,7,3.7,1.842669433,#N/A,#N/A,
play,to have fun,7,3.7,1.842669433,#N/A,#N/A,
comb,for smoothing hair,7,4.9,1.844036697,3.208333333,#N/A,
comb,hair ornament,7,4.9,1.844036697,3.208333333,#N/A,
corn,a field crop,7,5.0,1.844036697,#N/A,#N/A,
hit,to strike or slap,7,4.2,1.844036697,#N/A,#N/A,
hit,shot that reaches target,7,4.2,1.844036697,#N/A,#N/A,
hit,struck by storm,7,4.2,1.844036697,#N/A,#N/A,
soup,a liquid food,7,4.7,1.845695971,#N/A,#N/A,
sun,gives light and heat,7,3.4,1.847058824,1.95,#N/A,
pajamas,sleeping clothes,7,4.3,1.84739369,#N/A,#N/A,
do,make or act,7,5.0,1.84757384,#N/A,#N/A,
peas,small green vegetables,7,4.1,1.849099099,#N/A,#N/A,
hamburger,ground meat,7,5.2,1.850765306,#N/A,#N/A,
napkin,a wiping cloth,7,5.6,1.851775956,#N/A,#N/A,
stop,to prevent,7,3.5,1.851775956,#N/A,#N/A,
stop,to quit,7,3.5,1.851775956,#N/A,#N/A,
stop,to bring to a standstill,7,3.5,1.851775956,#N/A,#N/A,
run,flow,7,4.0,1.851902174,#N/A,#N/A,
run,to operate,7,4.0,1.851902174,#N/A,#N/A,
run,go fast on foot,7,4.0,1.851902174,#N/A,#N/A,
love,sweetheart,7,4.8,1.853197674,#N/A,#N/A,
love,to have deep feeling for,7,4.8,1.853197674,#N/A,#N/A,
love,like very much,7,4.8,1.853197674,#N/A,#N/A,
table,piece of furniture,7,3.6,1.8546875,1.841666667,#N/A,
lion,large catlike animal,7,4.4,1.8546875,1.95,#N/A,
glasses,help eyes to see,7,4.8,1.854864434,1.95,#N/A,
clap,slap hands together,7,3.7,1.856666667,#N/A,#N/A,
window,opening for light,7,4.6,1.857657658,2.091666667,#N/A,
swim,to move in the water,7,4.6,1.859344894,#N/A,#N/A,
turtle,shell-backed animal,7,3.9,1.859344894,#N/A,#N/A,
breakfast,morning meal,7,3.5,1.861283644,#N/A,#N/A,
face,to look straight at,7,3.5,1.861283644,#N/A,#N/A,
face,"eyes, nose and mouth",7,3.5,1.861283644,#N/A,#N/A,
medicine,drugs for sick,7,5.6,1.861283644,#N/A,#N/A,
sky,"upper air, clouds",7,3.9,1.863333333,#N/A,#N/A,
break,to tear apart,7,5.9,1.863467262,#N/A,#N/A,
beans,vegetable,7,4.0,1.863839286,#N/A,#N/A,
potatochip,a fried potato slice,7,,1.863839286,#N/A,#N/A,
happy,glad,7,3.7,1.866596639,#N/A,#N/A,
throw,toss,7,4.8,1.867161716,#N/A,#N/A,
yogurt,food made from milk,7,4.8,1.867161716,#N/A,#N/A,
park,a place for enjoyment,7,4.7,1.869047619,#N/A,#N/A,
park,to leave a car in place,7,4.7,1.869047619,#N/A,#N/A,
popcorn,,7,,1.869047619,#N/A,#N/A,
school,university division,7,4.2,1.869333333,#N/A,#N/A,
school,learning place,7,4.2,1.869333333,#N/A,#N/A,
kitchen,cooking room,7,3.9,1.870327103,#N/A,#N/A,
shorts,summer parks,7,4.0,1.870860927,#N/A,#N/A,
plate,cover with metal,7,4.3,1.871685606,#N/A,#N/A,
plate,dish to eat from,7,4.3,1.871685606,#N/A,#N/A,
night,dark time,7,3.8,1.871722846,#N/A,#N/A,
belt,strap to hold up pants,7,5.2,1.874100719,4.208333333,#N/A,
motorcycle,two-wheeled power bike,7,5.1,1.87449187,#N/A,#N/A,
drive,to force,7,5.5,1.875193798,#N/A,#N/A,
drive,to run a car,7,5.5,1.875193798,#N/A,#N/A,
drive,an auto drip,7,5.5,1.875193798,#N/A,#N/A,
jacket,a covering,7,4.6,1.87745098,4.708333333,#N/A,
jacket,a short coat,7,4.6,1.87745098,4.708333333,#N/A,
spaghetti,food,7,4.3,1.877604167,#N/A,#N/A,
pickle,a vinegary cucumber,7,5.4,1.877624672,#N/A,#N/A,
tiger,large catlike animal,7,4.4,1.877668309,3.708333333,#N/A,
butterfly,moth-like insect,7,3.7,1.877741228,1.95,#N/A,
purse,a woman's money and bag,7,5.5,1.881205674,3.708333333,#N/A,
food,things to eat,7,3.0,1.881205674,#N/A,#N/A,
heavy,weighs a lot,7,5.2,1.881205674,#N/A,#N/A,
shovel,digging tool,7,6.0,1.881835938,#N/A,#N/A,
shovel,to dig,7,6.0,1.881835938,#N/A,#N/A,
applesauce,a mashed apple dish,7,4.3,1.882183908,#N/A,#N/A,
red,color of blood,7,3.3,1.883333333,#N/A,#N/A,
strawberry,a small red fruit,7,4.2,1.885658915,3.708333333,#N/A,
animal,a beast,7,3.7,1.885658915,#N/A,#N/A,
my,is mine,7,3.0,1.886904762,#N/A,#N/A,
bad,naughty,7,2.6,1.888694639,#N/A,#N/A,
bad,wicked,7,2.6,1.888694639,#N/A,#N/A,
couch,"a long, padded seat",7,4.9,1.888694639,#N/A,#N/A,
knife,a cutting tool,7,4.7,1.891025641,1.95,#N/A,
hammer,drives nails,7,5.7,1.891025641,2.091666667,#N/A,
blow,puff and pant,7,4.8,1.891025641,#N/A,#N/A,
blow,strong wind,7,4.8,1.891025641,#N/A,#N/A,
blow,push out air,7,4.8,1.891025641,#N/A,#N/A,
picture,make a drawing,7,4.3,1.891025641,#N/A,#N/A,
fix,get something ready,7,5.1,1.892743222,#N/A,5,
fix,"repair, mend",7,5.1,1.892743222,#N/A,5,
pancake,thin flat cake,7,4.3,1.893137255,#N/A,#N/A,
stroller,a light baby carriage,7,6.3,1.893137255,#N/A,#N/A,
sheep,wooly animal,7,4.2,1.893765903,3.708333333,#N/A,
ant,small insect,7,3.8,1.894144144,5.208333333,#N/A,
lunch,noon meal,7,4.5,1.894144144,#N/A,#N/A,
dress,clothes,7,4.2,1.895833333,3.208333333,#N/A,
dress,woman's clothing,7,4.2,1.895833333,3.208333333,#N/A,
dress,to put clothes on,7,4.2,1.895833333,3.208333333,#N/A,
stick,a piece of wood,7,4.9,1.897619048,#N/A,#N/A,
garbage,waste matter,7,5.3,1.897679325,#N/A,#N/A,
zipper,fastener,7,4.9,1.897679325,#N/A,#N/A,
here,in this place,7,3.8,1.897798742,#N/A,#N/A,
sandwich,bread with spread,7,4.4,1.899859944,3.208333333,#N/A,
glass,a breakable material,7,4.8,1.90045045,3.708333333,#N/A,
glass,for drinking,7,4.8,1.90045045,3.708333333,#N/A,
peanutbutter,mashed peanuts,7,,1.901515152,#N/A,#N/A,
story,floor of a building,7,3.6,1.901515152,#N/A,#N/A,
story,a made-up tale,7,3.6,1.901515152,#N/A,#N/A,
story,a newspaper article,7,3.6,1.901515152,#N/A,#N/A,
story,telling what happened,7,3.6,1.901515152,#N/A,#N/A,
hungry,needing food,7,3.4,1.902968037,#N/A,#N/A,
carrots,,7,3.1,1.904166667,#N/A,#N/A,
doctor,to try to cure,7,4.4,1.905913978,3.708333333,#N/A,
doctor,medical expert,7,4.4,1.905913978,3.708333333,#N/A,
hold,to keep back,7,5.0,1.905913978,#N/A,#N/A,
hold,to grasp,7,5.0,1.905913978,#N/A,#N/A,
gonnagetyou,,7,,1.906666667,#N/A,#N/A,
look,try to see,7,4.2,1.907276995,#N/A,#N/A,
kick,hit with foot,7,4.5,1.907320872,#N/A,#N/A,
beach,seaside,7,4.7,1.908333333,#N/A,#N/A,
beach,to run ashore,7,4.7,1.908333333,#N/A,#N/A,
now,at this time,7,4.0,1.90920398,#N/A,#N/A,
room,walled-in space,7,4.4,1.909863946,#N/A,#N/A,
snack,light meal,7,3.0,1.909863946,#N/A,#N/A,
clown,circus funny man,7,3.7,1.912015504,3.208333333,#N/A,
sink,to go under water,7,4.8,1.916666667,#N/A,5,
sink,go down,7,4.8,1.916666667,#N/A,5,
sink,for washing dishes,7,4.8,1.916666667,#N/A,5,
carry,take to next column,7,5.2,1.916666667,#N/A,#N/A,
carry,take from place to place,7,5.2,1.916666667,#N/A,#N/A,
cook,fix food with heat,7,4.9,1.916666667,#N/A,#N/A,
cook,gets food ready,7,4.9,1.916666667,#N/A,#N/A,
lawnmower,,7,,1.916666667,#N/A,#N/A,
present,to give to,7,5.1,1.916666667,#N/A,#N/A,
present,gift,7,5.1,1.916666667,#N/A,#N/A,
present,I'm here,7,5.1,1.916666667,#N/A,#N/A,
slipper,,7,5.0,1.916666667,#N/A,#N/A,
snow,falling white flakes,7,3.9,1.916666667,#N/A,#N/A,
wanna,,7,,1.916666667,#N/A,#N/A,
you,person reading this,7,3.2,1.916666667,#N/A,#N/A,
hurt,harmed,7,4.4,1.92965368,#N/A,#N/A,
hurt,cause pain,7,4.4,1.92965368,#N/A,#N/A,
hurt,to damage other's feelings,7,4.4,1.92965368,#N/A,#N/A,
star,a bright point in the sky,7,4.2,1.933908046,3.208333333,#N/A,
push,to shove,7,4.3,1.957762557,#N/A,#N/A,
shopping,buying things,7,5.9,1.963178295,#N/A,#N/A,
necklace,a chain of beads for the neck,7,4.9,1.964285714,4.208333333,#N/A,
necklace,worn around neck,7,4.9,1.964285714,4.208333333,#N/A,
vacuum,clean,7,7.5,1.971212121,#N/A,#N/A,
puzzle,game with a problem to work out,7,5.5,1.976430976,#N/A,#N/A,
meat,animal flesh,7,4.6,1.979957806,#N/A,#N/A,
crib,storage bin,7,5.2,1.983333333,#N/A,#N/A,
catch,to get tangled in,7,5.2,1.986842105,#N/A,#N/A,
catch,day's load of fish,7,5.2,1.986842105,#N/A,#N/A,
catch,get hold of,7,5.2,1.986842105,#N/A,#N/A,
tissue,thin paper,7,5.0,1.986842105,#N/A,#N/A,
aunt,parent's sister,7,4.1,1.990625,#N/A,#N/A,
aunt,uncle's wife,7,4.1,1.990625,#N/A,#N/A,
sing,give a song,7,4.1,2.003787879,#N/A,#N/A,
helicopter,kind of aircraft,7,5.3,2.004746835,1.95,#N/A,
firetruck,,7,,2.005725191,#N/A,#N/A,
potato,a vegetable,7,4.8,2.00974026,6.208333333,#N/A,
penny,a one-cent coin,7,4.3,2.00974026,#N/A,#N/A,
pencil,a writing tool,7,4.2,2.010281385,3.208333333,#N/A,
basket,woven container,7,5.7,2.011904762,3.208333333,6,
basket,a score in basketball,7,5.7,2.011904762,3.208333333,6,
street,public road in a city,7,4.6,2.012467192,#N/A,#N/A,
asleep,not awake,7,4.4,2.013888889,#N/A,#N/A,
popsicle,,7,3.8,2.021264368,#N/A,#N/A,
this,the one right here,7,3.7,2.021264368,#N/A,#N/A,
yellow,the yolk of an egg,7,3.3,2.021406728,#N/A,#N/A,
yellow,color of lemons,7,3.3,2.021406728,#N/A,#N/A,
close,near each other,7,4.9,2.027186761,#N/A,#N/A,
close,to shut,7,4.9,2.027186761,#N/A,#N/A,
